"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","Low","Life Sciences","High","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","High","No","Slightly High","Fair","Moderate","Higher Stock Level","Just Started ( < 5)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"2","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","High","Life Sciences","High","Female","High (70 - 89)","Moderate","Associate","Laboratory Technician","Moderate","Married","Low (< 4000)","High ( > 20000)","High","No","Very High","High","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"3","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Low","Medical","Moderate","Female","Moderate (50 - 69)","Low","Associate","Sales Executive","Moderate","Single","Moderate (4000 - 8999)","Low (< 10000)","High","No","Slightly High","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"4","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","High","Female","Fairly High ( > 90","Low","Associate","Healthcare Representative","Low","Single","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Very High","Fair","High","Low Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Comfomrtable"
"5","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Sales","Very Far","High","Marketing","Low","Female","Moderate (50 - 69)","Moderate","Senior","Manager","Moderate","Married","High ( > 9000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","minimal Training","Moderate","Experts","Senior","Pending Promotion","Experienced"
"6","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","High","Female","Low (< 50)","Low","Associate","Manufacturing Director","High","Married","Moderate (4000 - 8999)","Low (< 10000)","High","Yes","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"7","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Life Sciences","Low","Male","Fairly High ( > 90","Moderate","Associate","Laboratory Technician","Moderate","Single","Low (< 4000)","High ( > 20000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"8","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Other","High","Female","Low (< 50)","Low","Juniors","Laboratory Technician","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"9","Adult","No","Travel_Frequently","Very High ( > 1200","Sales","Far","High","Marketing","High","Male","High (70 - 89)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Slightly High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"10","Adult","No","Non-Travel","High (800 - 1199)","Sales","Far","Low","Marketing","High","Female","Low (< 50)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Experts","Just Promoted","Newly Appointed"
"11","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Marketing","Moderate","Male","Low (< 50)","Moderate","Associate","Sales Executive","Moderate","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Normal","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"12","Adult","No","Travel_Frequently","Moderate (400 - 799)","Human Resources","Close-by","High","Human Resources","Low","Male","Low (< 50)","Moderate","Associate","Human Resources","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Senior","Just Promoted","Comfomrtable"
"13","Young","Yes","Travel_Frequently","Moderate (400 - 799)","Research & Development","Very Far","Low","Life Sciences","High","Male","High (70 - 89)","Low","Juniors","Research Scientist","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Very High","High","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Newly Appointed"
"14","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Female","High (70 - 89)","Low","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","High","No","Very High","High","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"15","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Moderate","Marketing","Moderate","Male","High (70 - 89)","Low","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Associate","Recently Promoted","Comfomrtable"
"16","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Low","Marketing","Low","Female","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"17","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Close-by","Low","Other","Low","Male","Fairly High ( > 90","Moderate","Juniors","Laboratory Technician","Moderate","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"18","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","Moderate","Female","Low (< 50)","Moderate","Associate","Healthcare Representative","Low","Married","High ( > 9000)","Low (< 10000)","High","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"19","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Moderate","Medical","Low","Male","Low (< 50)","Low","Associate","Sales Executive","Low","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","Yes","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Junior","Just Promoted","Experienced"
"20","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","High","Medical","Low","Male","Moderate (50 - 69)","Low","Associate","Laboratory Technician","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","High","Low Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"21","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Other","Low","Male","Low (< 50)","Moderate","Juniors","Laboratory Technician","High","Divorced","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"22","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Moderate","Life Sciences","Low","Female","Low (< 50)","Moderate","Associate","Sales Executive","High","Married","High ( > 9000)","Low (< 10000)","Moderate","No","Normal","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Comfomrtable"
"23","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Very Far","High","Medical","Low","Female","Moderate (50 - 69)","Moderate","Associate","Research Director","Low","Married","High ( > 9000)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"24","Middle Aged","No","Non-Travel","Moderate (400 - 799)","Sales","Close-by","High","Marketing","Moderate","Male","High (70 - 89)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","High","No","Normal","Fair","High","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"25","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Low","Medical","High","Female","High (70 - 89)","Low","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Normal","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Junior","Just Promoted","Newly Appointed"
"26","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Medical","Low","Male","High (70 - 89)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"27","Young","Yes","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","High","Female","Fairly High ( > 90","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","High","Yes","Very High","High","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"28","Young","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Low","Medical","Low","Male","Moderate (50 - 69)","High","Juniors","Research Scientist","Low","Single","Low (< 4000)","High ( > 20000)","High","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Just Promoted","Newly Appointed"
